Masculine                    | Feminine
-----------------------------|--------------------------------------------------
Pequeno                      | Pequena
Médio                        | Média
Quebrado                     | Quebrada
Danificado                   | Danificada
Destruído                    | Destruída
Novo                         | Nova
Velho                        | Velha
Sujo                         | Suja
Limpo                        | Limpa
Colorido                     | Colorida
Espinhoso                    | Espinhosa
Pontudo                      | Pontuda
Encantado                    | Encantada
Mágico                       | Mágica
Épico                        | Épica
Gosmento                     | Gosmenta
Empoeirado                   | Empoeirada
Descascado                   | Descascada
Voador                       | Voadora
Luminoso                     | Luminosa
Elétrico                     | Elétrica
Assombroso                   | Assombrosa
Queimado                     | Queimada
Grande                       | Grande
Flamejante                   | Flamejante
Brilhante                    | Brilhante
Sombrio                      | Sombria
Sinistro                     | Sinistra
Infernal                     | Infernal
Tecnológico                  | Tecnológica
Futurista                    | Futurista
Apertado                     | Apertada
Macabro                      | Macabra
Espectral                    | Espectral
Estranho                     | Estranha
Florido                      | Florida
Robusto                      | Robusta
Elegante                     | Elegante
Glacial                      | Glacial
Petrificado                  | Petrificada
Doce                         | Doce
Ancestral                    | Ancestral
Espacial                     | Espacial
Motorizado                   | Motorizada
Mutante                      | Mutante
Duro                         | Dura
Mole                         | Mole
Angelical                    | Angelical
Alegre                       | Alegre
Cyberpunk                    | Cyberpunk
Celestial                    | Celestial
Chique                       | Chique
Delicado                     | Delicada
Criativo                     | Criativa
Engenhoso                    | Engenhosa
Explosivo                    | Explosiva
Fofo                         | Fofa
Feliz                        | Feliz
Fantástico                   | Fantástica
Fabuloso                     | Fabulosa
Genial                       | Genial
Impecável                    | Impecável
Misterioso                   | Misteriosa
Lindo                        | Linda
Magistral                    | Magistral
Mirabolante                  | Mirabolante
Valioso                      | Valiosa
Horrível                     | Horrível
Desgastado                   | Desgastada
Pobre                        | Pobre
Natural                      | Natural
Estúpido                     | Estúpida
Amaldiçoado                  | Amaldiçoada
Cheio                        | Cheia
Obscuro                      | Obscura
Claro                        | Clara
Falso                        | Falsa
Vazio                        | Vazia
Largo                        | Larga
Fino                         | Fina
Frágil                       | Frágil
Delicado                     | Delicada
Áspero                       | Áspera
Feio                         | Feia
Gigante                      | Gigante
Dourado                      | Dourada
Antigo                       | Antiga
Distorcido                   | Distorcida
Irregular                    | Irregular
Tribal                       | Tribal
Vermelho                     | Vermelha
Asiático                     | Asiática
Americano                    | Americana
Céltico                      | Céltica
Indígena                     | Indígena
Grego                        | Grega
Árabe                        | Árabe
Mexicano                     | Mexicana
Africano                     | Africana
Egípcio                      | Egípcia
