Masculine                    | Feminine
-----------------------------|--------------------------------------------------
Arqueiro                     | Arqueira
Assassino                    | Assassina
Arqueólogo                   | Arqueóloga
Artesão de Gollems           | Artesã de Gollems
Atleta                       | Atleta
Astronauta                   | Astronauta
Açougueiro                   | Açougueira
Aviador                      | Aviadora
Ancião                       | Anciã
Bárbaro                      | Bárbara
Bibliotecário                | Bibliotecária
Bruxo                        | Bruxa
Bardo                        | Barda
Cientista                    | Cientista
Capitão                      | Capitã 
Camponês                     | Camponesa
Cigano                       | Cigana
Comerciante                  | Comerciante
Caçador                      | Caçadora
Cozinheiro                   | Cozinheira
Costureiro                   | Costureira
Caçador                      | Caçadora
Curandeiro                   | Curandeira
Colecionador                 | Colecionadora
Catador                      | Catadora
Dobrador                     | Dobradora
Dançarino                    | Dançarina
Detetive                     | Detetive
Druida                       | Druida
Do Lar                       | Do Lar
Engenhoqueiro                | Engenhoqueira
Estudante                    | Estudante
Enfermeiro                   | Enfermeira
Feiticeiro                   | Feiticeira
Forasteiro                   | Forasteira
Florista                     | Florista
Fotógrafo                    | Fotógrafo
Ferreiro                     | Ferreira
Fazendeiro                   | Fazendeira
Feirante                     | Feirante
Guerreiro                    | Guerreira
Guardião                     | Guardiã
Gamer                        | Gamer
Geólogo                      | Geóloga
General                      | General
Guardião                     | Guardiã
Gari                         | Gari
Hipster                      | Hipster
Lutador                      | Lutadora
Ladino                       | Ladina
Mordomo                      | Governanta
Mago                         | Maga
Mágico                       | Mágica
Metamorfo                    | Metamorfa
Mecânico                     | Mecânica
Motoqueiro                   | Motoqueira
Maquiador                    | Maquiadora
Marinheiro                   | Marinheira
Merendeiro                   | Merendeira
Monge                        | Monge
Navegador                    | Navegadora
Nômade                       | Nômade
Nerd                         | Nerd
Pipoqueiro                   | Pipoqueira
Policial                     | Policial
Palhaço                      | Palhaça
Prisioneiro                  | Prisioneira
Padre                        | Freira
Professor                    | Professora
Padeiro                      | Padeira
Pirata                       | Pirata
Samurai                      | Samurai
Segurança                    | Segurança
Sentinela                    | Sentinela
Taverneiro                   | Taverneira
Turista                      | Turista
Viajante                     | Viajante                     
Viking                       | Viking
Vendedor                     | Vendedora










