Name                         | Gender
-----------------------------|--------------------------------------------------
um Bastão Folclórico         | masculine
um Barril de Pólvora         | masculine
um Boné dos Anos 90          | masculine
um Cajado Tecnológico        | masculine
um Chapéu Unicórnio          | masculine
um Capuz de Folhas           | masculine
um Colar                     | masculine
um Capacete                  | masculine
um Chicote                   | masculine
um Celular                   | masculine 
um Caldeirão de correntes    | masculine
um Casco Espacial            | masculine
um Dado Flutuante            | masculine
um Escudo Besouro            | masculine
um Foguete de Brinquedo      | masculine
um Gancho Tribal             | masculine 
um Guarda-Chuva Solar        | masculine
um Incenso Tecnológico       | masculine
um KIT Hospitalar            | masculine
um Livro de Ossos            | masculine
um Livro de Possuído         | masculine
um Livro Emo                 | masculine
um Lápis Infernal            | masculine
um Lápis Elétrico            | masculine
um Laço                      | masculine  
um Machado                   | masculine
um Martelo                   | masculine
um Óculos Vegetal            | masculine 
um Pijama                    | masculine
um Sabre                     | masculine
um Taco De Baseball          | masculine
um Tridente Podre            | masculine
um Tamanco de Ossos          | masculine
uma Adaga                    | feminine
uma Armadura Florida         | feminine
uma Bolsa                    | feminine
uma Bota Espectral           | feminine 
uma Bazuca Espectral         | feminine
uma Couraça de Doces         | feminine
uma Caneca                   | feminine
uma Chave                    | feminine 
uma Coroa espinhosa          | feminine 
uma Coroa Mexicana           | feminine
uma Coroa Elétrica           | feminine
uma Concha Enferrujada       | feminine
uma Espada                   | feminine
uma Gravata de correntes     | feminine
uma Granada Sinistra         | feminine 
uma Katana Podre             | feminine
uma Lanterna                 | feminine
uma Lanterna Abóbora         | feminine
uma Luva de Madeira          | feminine
uma Máscara                  | feminine
uma Marreta Glamourosa       | feminine
uma Pulseira                 | feminine
uma Picareta Folclórica      | feminine
uma Pistola                  | feminine
uma Pochete Infantil         | feminine
uma Pantufa                  | feminine
uma Perna Mecânica           | feminine
uma Rede de Esqueletos       | feminine
uma Roupa de Rock            | feminine
uma Túnica Mexicana          | feminine
uma Tijela Glacial           | feminine
uma Varinha                  | feminine
uma Vara                     | feminine
